Sub_ID;Island_Group;Sub_Area;Tech_Pot_med;LCOE_med;BPP
96;Sumatera;8.326;0.038815792;16.15;8.56
118;Sumatera;0.91;0.004044855;12.68;8.56
158;Sumatera;6.569;0.033107754;14.94;8.56
159;Sumatera;14.566;0.086812612;13.17;8.56
167;Sumatera;1.179;0.007505231;10.61;8.56
183;Sumatera;3.163;0.017137836;13.28;8.56
216;Sumatera;1.284;0.005168954;14.56;8.56
226;Sumatera;5.256;0.02691709;14.23;8.56
229;Sumatera;4.602;0.030922995;11.66;8.56
506;Sumatera;1.661;0.005312915;18.72;9.26
985;Sumatera;0.937;0.002817046;17.89;8.56
1034;Sumatera;1.277;0.005864026;13.11;8.56
1035;Sumatera;1.227;0.004901194;15.16;8.56
1280;Sumatera;4.612;0.021371177;15.94;9.43
1281;Sumatera;2.424;0.009559255;17.19;9.43
1311;Sumatera;3.351;0.011638007;19.19;6.83
1329;Sumatera;6.502;0.033461503;14.68;6.83
1330;Sumatera;9.115;0.053269817;13.31;6.83
1339;Sumatera;0.795;0.002958843;13.58;9.43
1340;Sumatera;5.026;0.022383551;16.38;9.43
1342;Sumatera;1.865;0.008452272;15.12;9.43
1343;Sumatera;2.7;0.012639538;15.27;9.43
1371;Sumatera;0.703;0.002010264;15.09;6.83
1375;Sumatera;0.823;0.002179511;18.89;6.83
1380;Sumatera;3.852;0.016946734;16.18;6.83
1381;Sumatera;0.878;0.004029715;12.82;6.83
1390;Sumatera;1.703;0.006667411;15.35;8.56
1491;Sumatera;8.884;0.036820763;17.88;8.56
1556;Sumatera;32.579;0.135606992;18.24;8.56
1557;Sumatera;1.926;0.006819302;18.49;8.56
1558;Sumatera;1.986;0.008959438;15.24;8.56
1568;Sumatera;1.399;0.005438299;16.24;8.56
1599;Sumatera;3.675;0.023306823;11.82;8.56
1600;Sumatera;17.622;0.094009666;14.71;8.56
1603;Sumatera;1.167;0.004598653;15.75;8.56
1612;Sumatera;0.721;0.003163228;11.09;8.56
1613;Sumatera;0.758;0.002050198;18.52;8.56
1616;Sumatera;4.482;0.021042135;15.53;8.56
1648;Sumatera;2.227;0.010912887;14.49;8.56
1661;Sumatera;3.545;0.018435764;14.2;8.56
1664;Sumatera;4.411;0.018789232;16.85;8.56
1665;Sumatera;1.875;0.008194857;15.29;8.56
1678;Sumatera;7.203;0.040025629;13.45;8.56
1679;Sumatera;9.807;0.0597183;12.87;8.56
2238;Sumatera;1.858;0.006097258;20.15;6.83
2250;Sumatera;3.228;0.010017191;21.58;6.83
2329;Sumatera;1.155;0.005096449;14.42;7.13
2466;Sumatera;1.899;0.007930831;16.01;6.83
2474;Sumatera;10.142;0.041608615;18.42;6.83
2667;Sumatera;0.952;0.003024178;16.71;6.83
2844;Sumatera;1.258;0.003410474;20.84;6.83
2898;Sumatera;0.683;0.001462668;19.32;6.83
2934;Sumatera;2.946;0.011196452;18.25;7.13
