Sub_ID;Island_Group;Sub_Area;Tech_Pot_med;LCOE_med;BPP
96;Sumatera;14.605;0.066746922;16.45;8.56
103;Sumatera;44.822;0.186249206;18.28;8.56
104;Sumatera;19.298;0.106748776;14.15;8.56
105;Sumatera;18.782;0.120407497;12.65;8.56
106;Sumatera;89.185;0.408091782;16.95;8.56
107;Sumatera;144.862;0.549758534;20.22;8.56
109;Sumatera;2.042;0.016490062;9.68;8.56
110;Sumatera;18.336;0.066809529;20.45;8.56
111;Sumatera;3.793;0.022527778;12.61;8.56
118;Sumatera;114.098;0.593051383;15.2;8.56
123;Sumatera;23.627;0.119519549;15.38;8.56
132;Sumatera;1.614;0.006990592;14.5;8.56
135;Sumatera;5.798;0.028872364;14.97;8.56
137;Sumatera;5.769;0.021691894;19.16;8.56
139;Sumatera;28.657;0.101693947;21.13;8.56
141;Sumatera;7.522;0.029161416;19.22;8.56
151;Sumatera;4.91;0.031222433;12.31;8.56
156;Sumatera;2.182;0.00882644;16.9;8.56
157;Sumatera;7.761;0.043566846;13.8;8.56
158;Sumatera;41.037;0.228060595;14.3;8.56
159;Sumatera;116.003;0.792205309;12.15;8.56
160;Sumatera;52.403;0.378082631;11.54;8.56
167;Sumatera;8.13;0.054199683;11.86;8.56
168;Sumatera;2.792;0.016313263;12.56;8.56
170;Sumatera;1.657;0.007222243;14.42;8.56
171;Sumatera;19.871;0.109905766;14.22;8.56
180;Sumatera;1.059;0.004205154;14.62;8.56
181;Sumatera;3.817;0.020957131;13.49;8.56
183;Sumatera;53.671;0.279205289;15.16;8.56
189;Sumatera;2.845;0.013989927;14.27;8.56
191;Sumatera;8.994;0.045342422;15.06;8.56
192;Sumatera;27.461;0.15803112;13.88;8.56
193;Sumatera;16.23;0.089890458;14.19;8.56
196;Sumatera;16.515;0.104582836;12.6;8.56
214;Sumatera;33.258;0.187552256;14.1;8.56
216;Sumatera;3.047;0.01414361;15.53;8.56
217;Sumatera;39.591;0.221257788;14.21;8.56
221;Sumatera;1.082;0.003572434;18.01;8.56
222;Sumatera;17.825;0.08730628;15.75;8.56
223;Sumatera;14.729;0.08699449;13.26;8.56
226;Sumatera;65.189;0.419231472;12.67;8.56
229;Sumatera;102.837;0.723089108;11.84;8.56
230;Sumatera;4.685;0.018907991;18.03;8.56
246;Sumatera;4.263;0.020128777;15.3;9.26
248;Sumatera;40.486;0.204507514;15.46;9.26
272;Sumatera;11.4;0.065260629;13.67;8.56
286;Sumatera;2.395;0.010758101;15.28;9.26
287;Sumatera;5.444;0.028547872;14.38;9.26
290;Sumatera;9.237;0.046469369;14.95;9.26
296;Sumatera;12.477;0.086246132;11.76;9.26
315;Sumatera;2.003;0.009166214;15.1;9.26
316;Sumatera;2.686;0.012994954;14.38;9.26
317;Sumatera;42.121;0.235875756;14.19;9.26
318;Sumatera;49.235;0.303284834;13.12;9.26
319;Sumatera;40.087;0.257165239;12.69;9.26
356;Sumatera;1.305;0.005795998;14.77;9.26
357;Sumatera;62.24;0.397646852;12.76;9.26
364;Sumatera;1.351;0.004834582;17.83;9.26
365;Sumatera;0.741;0.002410895;14.92;9.26
377;Sumatera;62.541;0.389516966;13.01;9.26
381;Sumatera;29.552;0.16036277;14.45;9.26
382;Sumatera;4.474;0.022470505;14.74;9.26
383;Sumatera;9.436;0.04185304;17.26;9.26
397;Sumatera;7.556;0.031886948;17.56;9.26
398;Sumatera;63.374;0.339619513;14.78;9.26
400;Sumatera;3.19;0.016135335;14.05;9.26
401;Sumatera;0.641;0;15.04;9.26
406;Sumatera;3.995;0.02253708;13.15;8.56
408;Sumatera;4.096;0.021695392;14.02;8.56
410;Sumatera;4.97;0.020888903;17.29;8.56
444;Sumatera;22.286;0.153475631;11.96;9.26
445;Sumatera;7.265;0.035268776;15.07;9.26
459;Sumatera;8.362;0.035384252;17.53;9.26
462;Sumatera;0.767;0.002333785;16.56;9.26
474;Sumatera;16.765;0.068485088;18.25;9.26
477;Sumatera;14.39;0.09089032;12.69;9.26
479;Sumatera;0.93;0.002559769;19.47;9.26
489;Sumatera;1.41;0.004356761;19.85;9.26
498;Sumatera;24.013;0.11783876;15.71;9.26
501;Sumatera;1.577;0.006489348;14.95;9.26
503;Sumatera;10.903;0.057372642;14.57;9.26
504;Sumatera;9.782;0.049896752;14.99;9.26
505;Sumatera;0.872;0.004376151;11.58;9.26
506;Sumatera;40.58;0.258531323;12.76;9.26
507;Sumatera;0.436;0;16.26;8.56
508;Sumatera;1.843;0.007343805;15.55;8.56
525;Sumatera;3.228;0.01443081;15.6;8.56
526;Sumatera;6.112;0.036820455;12.77;8.56
527;Sumatera;6.82;0.034961444;15.08;8.56
556;Sumatera;3.169;0.017023426;13.34;9.26
557;Sumatera;41.163;0.265572927;12.61;9.26
560;Sumatera;2.037;0.008706443;16.36;9.26
561;Sumatera;0.408;0;14.46;9.26
574;Sumatera;2.071;0.008929601;16.15;9.26
576;Sumatera;52.028;0.406299506;10.89;9.26
577;Sumatera;2.194;0.012239806;12.86;9.26
582;Sumatera;2.277;0.010786971;14.92;9.26
584;Sumatera;0.767;0.002666348;14.82;9.26
589;Sumatera;2.974;0.014804571;14.47;9.26
590;Sumatera;59.102;0.290243036;15.89;9.26
591;Sumatera;26.785;0.126127966;16.23;9.26
593;Sumatera;4.161;0.023542489;13.01;9.26
594;Sumatera;11.658;0.056938024;15.62;9.26
595;Sumatera;1.158;0.005607918;13.35;9.26
602;Sumatera;0.616;0;15.71;9.26
604;Sumatera;3.296;0.016203015;14.44;9.26
620;Sumatera;5.489;0.020557735;19.45;9.26
621;Sumatera;1.023;0.003434915;17.83;9.26
630;Sumatera;10.056;0.054430529;14.02;9.26
631;Sumatera;3.01;0.016958435;13.17;9.26
649;Sumatera;1.057;0.003306696;18.41;9.26
650;Sumatera;19.192;0.105288912;14.26;9.26
652;Sumatera;119.235;0.656548069;14.46;9.26
653;Sumatera;3.087;0.013142895;16.68;9.26
654;Sumatera;0.596;0;11.56;9.26
656;Sumatera;1.126;0.005742101;12.83;9.26
659;Sumatera;4.953;0.020506711;17.57;9.26
660;Sumatera;1.45;0.006587108;13.94;9.26
693;Sumatera;0.468;0;18.27;8.56
698;Sumatera;2.977;0.019089251;11.8;8.56
699;Sumatera;6.016;0.03549137;12.98;8.56
760;Sumatera;33.659;0.184062022;14.52;9.26
761;Sumatera;28.59;0.138126842;16.05;9.26
776;Sumatera;12.034;0.060980748;15.47;9.26
777;Sumatera;75.418;0.380627709;15.69;9.26
778;Sumatera;9.965;0.061619525;12.58;9.26
782;Sumatera;0.46;0;14.68;9.26
792;Sumatera;5.289;0.026322862;14.67;9.26
793;Sumatera;89.828;0.640682129;11.69;9.26
796;Sumatera;76.481;0.447303449;13.78;9.26
800;Sumatera;21.817;0.154730981;11.62;9.26
802;Sumatera;2.314;0.010968316;15;9.26
805;Sumatera;0.537;0;14.38;9.26
807;Sumatera;64.578;0.493907386;11.04;9.26
808;Sumatera;40.752;0.308489213;11.15;9.26
812;Sumatera;1.839;0.008929755;13.18;9.26
815;Sumatera;120.003;0.928923317;10.98;9.26
816;Sumatera;81.955;0.79195873;9.18;9.26
817;Sumatera;1.13;0.011315223;7.67;9.26
821;Sumatera;21.12;0.128078762;13.16;9.26
825;Sumatera;2.358;0.018642698;9.63;9.26
886;Sumatera;71.493;0.309368472;18.03;9.26
888;Sumatera;42.507;0.278016639;12.46;9.26
889;Sumatera;4.214;0.027914479;11.34;9.26
890;Sumatera;14.408;0.176594112;7.54;9.26
891;Sumatera;2.086;0.022234966;7.8;9.26
894;Sumatera;1.054;0.009264023;7.7;9.26
896;Sumatera;13.597;0.153820734;8;9.26
897;Sumatera;1.566;0.014418726;7.83;9.26
898;Sumatera;0.803;0.007904896;6.48;9.26
900;Sumatera;0.435;0;5.81;9.26
983;Sumatera;0.568;0;13.21;8.56
984;Sumatera;52.011;0.272256042;15.16;8.56
