Index,Long,Lat
1,94.75,5.88
2,94.75,5.63
3,94.75,5.38
4,95,6.13
5,95,5.88
6,95,5.63
7,95,5.38
8,95,5.13
9,95,4.88
10,95,2.88
11,95.25,6.13
12,95.25,5.88
13,95.25,5.63
14,95.25,5.38
15,95.25,5.13
16,95.25,4.88
17,95.25,4.63
18,95.25,4.38
19,95.25,3.38
20,95.25,3.13
21,95.25,2.88
22,95.25,2.63
23,95.5,6.13
24,95.5,5.88
25,95.5,5.63
26,95.5,5.38
27,95.5,5.13
28,95.5,4.88
29,95.5,4.63
30,95.5,4.38
31,95.5,3.38
32,95.5,3.13
33,95.5,2.88
34,95.5,2.63
35,95.5,2.38
36,95.75,5.88
37,95.75,5.63
38,95.75,5.38
39,95.75,5.13
40,95.75,4.88
41,95.75,4.63
42,95.75,4.38
43,95.75,4.13
44,95.75,3.13
45,95.75,2.88
46,95.75,2.63
47,95.75,2.38
48,96,5.88
49,96,5.63
50,96,5.38
51,96,5.13
52,96,4.88
53,96,4.63
54,96,4.38
55,96,4.13
56,96,3.88
57,96,3.13
58,96,2.88
59,96,2.63
60,96,2.38
61,96,2.13
62,96.25,5.63
63,96.25,5.38
64,96.25,5.13
65,96.25,4.88
66,96.25,4.63
67,96.25,4.38
68,96.25,4.13
69,96.25,3.88
70,96.25,3.63
71,96.25,2.88
72,96.25,2.63
73,96.25,2.38
74,96.25,2.13
75,96.5,5.63
76,96.5,5.38
77,96.5,5.13
78,96.5,4.88
79,96.5,4.63
80,96.5,4.38
81,96.5,4.13
82,96.5,3.88
83,96.5,3.63
84,96.5,3.38
85,96.5,2.88
86,96.5,2.63
87,96.5,2.38
88,96.5,2.13
89,96.5,1.88
90,96.75,5.63
91,96.75,5.38
92,96.75,5.13
93,96.75,4.88
94,96.75,4.63
95,96.75,4.38
96,96.75,4.13
97,96.75,3.88
98,96.75,3.63
99,96.75,3.38
100,96.75,2.63
101,96.75,2.38
102,96.75,2.13
103,96.75,1.88
104,96.75,1.63
105,96.75,1.38
106,96.75,1.13
107,97,5.63
108,97,5.38
109,97,5.13
110,97,4.88
111,97,4.63
112,97,4.38
113,97,4.13
114,97,3.88
115,97,3.63
116,97,3.38
117,97,3.13
118,97,2.88
119,97,2.38
120,97,2.13
121,97,1.88
122,97,1.63
123,97,1.38
124,97,1.13
125,97,0.88
126,97,0.63
127,97.25,5.38
128,97.25,5.13
129,97.25,4.88
130,97.25,4.63
131,97.25,4.38
132,97.25,4.13
133,97.25,3.88
134,97.25,3.63
135,97.25,3.38
136,97.25,3.13
137,97.25,2.88
138,97.25,2.63
139,97.25,2.38
140,97.25,2.13
141,97.25,1.88
142,97.25,1.63
143,97.25,1.38
144,97.25,1.13
145,97.25,0.88
146,97.25,0.63
147,97.5,5.63
148,97.5,5.38
149,97.5,5.13
150,97.5,4.88
151,97.5,4.63
152,97.5,4.38
153,97.5,4.13
154,97.5,3.88
155,97.5,3.63
156,97.5,3.38
157,97.5,3.13
158,97.5,2.88
159,97.5,2.63
160,97.5,2.38
161,97.5,2.13
162,97.5,1.88
163,97.5,1.63
164,97.5,1.38
165,97.5,1.13
